Categoría,Nombre,Ingredientes,Preparación,Método,Tiempo,Dificultad,Tip
Cena,Nuggets de lentejas,"Lentejas cocidas, cebolla, zanahoria, avena.",1. Procesar las lentejas junto con la cebolla y la zanahoria hasta obtener una pasta moldeable. 2. Incorporar avena si hace falta firmeza. 3. Formar piezas pequeñas tipo nugget con las manos húmedas. 4. Colocar en placa aceitada o airfryer. 5. Cocinar hasta que estén dorados y crocantes.,Horno,15-20 min,Fácil,"Si la mezcla se pega mucho, sumá un poco más de avena."
Cena,Nuggets de pollo caseros,"Pollo, verduras, harina, leche, pan rallado.","1. Saltear las verduras picadas hasta tiernizar. 2. Agregar harina y leche, mezclando hasta formar una pasta espesa. 3. Procesar junto con el pollo crudo hasta integrar. 4. Llevar a frío hasta que tome firmeza. 5. Formar nuggets, rebozar con pan rallado y cocinar hasta dorar.",Horno,25 min,Difícil,Podés freezarlos crudos y cocinarlos directo al horno.
Cena,Nuggets de pollo crocantes,"Pollo, verduras, leche, harina, copos de maíz.",1. Saltear las verduras picadas. 2. Incorporar harina y leche hasta espesar. 3. Procesar con el pollo crudo hasta obtener una mezcla uniforme. 4. Enfriar bien la preparación. 5. Formar nuggets y rebozar con copos de maíz triturados. 6. Cocinar hasta dorar.,Horno,20-25 min,Difícil,Los copos de maíz les dan crocancia extra.
Cena,Nuggets de verduras,"Verduras cocidas, huevo, pan rallado.",1. Procesar las verduras cocidas junto con el huevo. 2. Agregar pan rallado hasta lograr una textura moldeable. 3. Formar nuggets pequeños y parejos. 4. Pasarlos por pan rallado. 5. Cocinar hasta que estén dorados.,Horno,15-20 min,Fácil,Ideal para aprovechar verduras que sobraron.
Cena,Ñoquis con salsa de tomate,"Ñoquis (o ravioles), salsa de tomate, vegetales, queso rallado.",1. Preparar una salsa salteando los vegetales picados. 2. Agregar tomate triturado y cocinar unos minutos. 3. Hervir los ñoquis en abundante agua hasta que suban a la superficie. 4. Colar y servir con la salsa caliente. 5. Terminar con queso rallado.,Hornalla,20-25 min,Fácil,Mové la pasta al hervir para evitar que se pegue.
Cena,Ñoquis de espinaca,"Espinaca, harina, huevo.","1. Cocinar la espinaca y escurrirla muy bien. 2. Procesarla o picarla fino. 3. Mezclar con huevo y harina hasta formar una masa suave. 4. Hacer rollitos, cortar los ñoquis y cocinar en agua hirviendo hasta que floten.",Hornalla,20-25 min,Media,Escurrir bien la espinaca evita exceso de harina.
Cena,Ñoquis de papa y calabaza,"Papa, calabaza, harina.","1. Hervir la papa y la calabaza hasta que estén tiernas. 2. Hacer un puré seco y dejar entibiar. 3. Incorporar harina hasta formar una masa suave. 4. Armar rollitos, cortar los ñoquis y cocinar en agua hirviendo hasta que suban.",Hornalla,20-25 min,Media,No agregues harina de más para que queden livianos.
Cena,Omelette al horno,"Huevos, verduras.","1. Batir los huevos en un bowl. 2. Agregar las verduras picadas finamente. 3. Volcar en una fuente pequeña previamente aceitada. 4. Cocinar hasta que esté inflado, firme y dorado en la superficie.",Horno,20-25 min,Fácil,Ideal para hacer varias porciones de una vez.
Cena,Omelette al horno clásico,"Huevos, verduras.",1. Mezclar los huevos batidos con los vegetales picados. 2. Pasar la preparación a un molde aceitado. 3. Cocinar hasta que cuaje por completo y tome color arriba.,Horno,20-25 min,Muy Fácil,Usá un molde no muy grande para que quede alto.
Cena,Omelette al horno con queso,"Huevos, verduras, queso descremado.",1. Batir los huevos e incorporar las verduras picadas. 2. Agregar el queso descremado rallado o en cubitos. 3. Volcar en molde aceitado. 4. Cocinar hasta que esté firme y dorado.,Horno,20-25 min,Muy Fácil,El queso suma cremosidad y sabor.
Cena,Omelette de arvejas y papa,"Huevos, puré de papa, arvejas, verduras.",1. Saltear las verduras elegidas en una sartén hasta tiernizar. 2. Batir los huevos e incorporar el puré de papa hasta integrar. 3. Agregar las arvejas a la sartén. 4. Volcar la mezcla de huevo por encima. 5. Cocinar a fuego bajo hasta que cuaje. 6. Doblar al medio y servir.,Sartén,10-15 min,Media,El puré le aporta cuerpo y lo vuelve más saciante.
Cena,Omelette de claras y verduras,"Claras de huevo, verduras.",1. Batir las claras hasta que estén espumosas. 2. Incorporar las verduras previamente salteadas. 3. Volcar en una sartén caliente apenas aceitada. 4. Cocinar a fuego suave hasta que cuaje. 5. Doblar al medio y servir enseguida.,Sartén,10-15 min,Fácil,El fuego bajo mantiene las claras esponjosas.
Cena,Omelette de verduras,"Huevos, verduras.",1. Saltear los vegetales en una sartén hasta tiernizar. 2. Batir los huevos con una pizca de sal. 3. Volcar sobre las verduras a fuego bajo. 4. Cocinar hasta que empiece a cuajar. 5. Doblar al medio y terminar la cocción.,Sartén,10 min,Fácil,Tapar la sartén ayuda a cocinar parejo.
Cena,Omelette de verduras clásico,"Huevos, verduras salteadas.",1. Batir los huevos en un bowl. 2. Mezclar con los vegetales ya salteados. 3. Volcar en sartén caliente apenas aceitada. 4. Cocinar a fuego medio hasta cuajar y dorar levemente. 5. Doblar y servir.,Sartén,10-15 min,Muy Fácil,Evitá fuego alto para que no se seque.
Cena,Omelette de zanahoria y zucchini,"Huevos, ajo, zanahoria, zucchini, tomate, queso.","1. Rallar la zanahoria y el zucchini, y picar el ajo. 2. Colocar en un bowl junto con los huevos batidos. 3. Agregar tomate picado y queso. 4. Mezclar bien hasta integrar. 5. Cocinar en sartén aceitada como un omelette grueso. 6. Dar vuelta cuando esté firme.",Sartén,10-15 min,Fácil,Tapar la sartén ayuda a cocinar las verduras con vapor.
Cena,Pasta fría con verduras,"Pasta corta, verduras frescas, aceite.",1. Cocinar la pasta hasta que quede al dente. 2. Escurrir y enfriar. 3. Cortar las verduras frescas en cubos o tiras finas. 4. Mezclar todo en un bowl amplio. 5. Agregar aceite y condimentos a gusto.,Hornalla,20 min,Muy Fácil,Un toque de limón la vuelve más fresca.
Cena,Pastel de lentejas,"Lentejas, cebolla, puré de papa.",1. Cocinar la cebolla picada y sumar las lentejas con condimentos. 2. Preparar un puré de papa cremoso. 3. Colocar el relleno de lentejas en una fuente. 4. Cubrir con el puré y alisar la superficie. 5. Cocinar hasta gratinar.,Horno,30 min,Media,Agregar queso arriba suma un gratinado increíble.
Cena,Pastel de lentejas clásico,"Lentejas cocidas, cebolla, puré de papa.",1. Rehogar la cebolla y agregar las lentejas cocidas. 2. Condimentar y cocinar unos minutos. 3. Colocar como base en una fuente. 4. Cubrir con puré de papa. 5. Llevar al horno fuerte hasta dorar la superficie.,Horno,25-30 min,Media,Dejalo reposar unos minutos antes de cortar.
Cena,Pastel de lentejas liviano,"Lentejas cocidas, puré de papa, cebolla.",1. Cocinar la cebolla hasta tiernizar y sumar las lentejas. 2. Condimentar a gusto. 3. Colocar en una fuente como base. 4. Cubrir con puré de papa liviano. 5. Cocinar hasta calentar y dorar levemente arriba.,Horno,25-30 min,Media,Reposarlo unos minutos mejora el corte.
Cena,Pastel de batata liviano,"Batata, relleno de pollo o verduras.",1. Hacer puré de batata. 2. Cocinar relleno elegido. 3. Colocar en fuente. 4. Cubrir con puré. 5. Gratinar hasta dorar.,Horno,25 min,Media,La batata aporta dulzor natural.
Cena,Pastel de calabaza proteico,"Calabaza, carne magra, cebolla.",1. Hacer puré de calabaza. 2. Cocinar carne con cebolla. 3. Armar capas. 4. Llevar al horno hasta dorar.,Horno,25 min,Media,Muy liviano y saciante.
Cena,Pastel de papa y relleno magro,"Papa, relleno magro.",1. Preparar un puré suave y liviano. 2. Cocinar el relleno magro elegido. 3. Colocar una base de relleno en una fuente. 4. Cubrir con el puré y emparejar. 5. Cocinar hasta gratinar la superficie.,Horno,25-30 min,Media,Reposarlo mejora mucho el corte.
Cena,Pastel de verduras,"Verduras, huevo, puré de papa liviano.",1. Cocinar o saltear las verduras hasta tiernizar. 2. Mezclarlas con huevo para unir la preparación. 3. Colocar en una fuente como base. 4. Cubrir con puré de papa liviano. 5. Cocinar hasta que esté firme y dorado arriba.,Horno,25-30 min,Media,Esperá unos minutos antes de servir.
Cena,Pastel de verduras liviano,"Verduras variadas, puré de papa, huevo.",1. Saltear las verduras de estación hasta que estén tiernas. 2. Incorporar un huevo y mezclar para ligar. 3. Colocar en una fuente. 4. Cubrir con una capa fina de puré de papa. 5. Cocinar hasta que la superficie esté crocante y dorada.,Horno,25-30 min,Media,Reposarlo ayuda a que los jugos se asienten.
Cena,Pastel de verduras liviano clásico,"Verduras, puré de papa liviano, huevo.",1. Cocinar las verduras elegidas y mezclarlas con el huevo. 2. Colocar la preparación en una fuente. 3. Cubrir con puré de papa liviano. 4. Llevar al horno hasta gratinar y tomar color.,Horno,25-30 min,Media,Dejalo reposar antes de cortar.
Cena,Pechuga con ensalada y fideos fríos,"Pechuga de pollo, fideos cortos, tomate, pepino, hojas verdes.","1. Cocinar los fideos y enfriarlos. 2. Cocinar la pechuga a la plancha hasta dorar y cortar en tiras. 3. Lavar y cortar tomate, pepino y hojas verdes. 4. Mezclar la pasta fría con los vegetales. 5. Sumar el pollo y condimentar a gusto.",Plancha,15 min,Fácil,Ideal para vianda fría o tibia.
Cena,Pechuga de pollo con ensalada,"Pechuga de pollo, tomate, zanahoria, huevo duro, limón.",1. Condimentar la pechuga con limón y orégano. 2. Cocinar hasta dorar y completar cocción. 3. Hervir el huevo y cortarlo. 4. Rallar la zanahoria y cortar el tomate. 5. Servir la ensalada junto con la pechuga caliente.,Crudo,10 min,Muy Fácil,Lavá bien los vegetales antes de usar.
Cena,Pechuga grillada,"Pechuga, sal, limón.",1. Condimentar la pechuga con sal y limón. 2. Calentar bien la plancha con apenas aceite. 3. Cocinar de un lado hasta dorar. 4. Dar vuelta una sola vez y terminar la cocción. 5. Servir enseguida.,Plancha,15 min,Fácil,No la pinches para conservar sus jugos.
Cena,Pechuga grillada clásica,"Pechuga de pollo, sal, limón.",1. Condimentar la pechuga. 2. Llevar a plancha bien caliente. 3. Cocinar sin mover hasta dorar un lado. 4. Dar vuelta y cocinar unos minutos más hasta completar.,Horno,15 min,Fácil,El secreto es no pincharla durante la cocción.
Cena,Pimientos rellenos,"Morrón, carne magra o legumbres.",1. Cortar los morrones al medio y retirar semillas. 2. Preparar el relleno elegido de carne magra o legumbres. 3. Rellenar generosamente cada mitad. 4. Colocar en fuente y cocinar hasta que estén tiernos y dorados.,Horno,20-25 min,Media,"Si tapás al inicio, quedan más tiernos."
Cena,Pinchos de pollo,"Pollo en cubos, morrón, cebolla.",1. Cortar el pollo y los vegetales en cubos parejos. 2. Armar pinchos intercalando ingredientes. 3. Condimentar a gusto. 4. Cocinar en plancha caliente hasta dorar y cocinar por completo.,Plancha,15-20 min,Fácil,Giralos para dorar parejo.
Cena,Pinchos de verduras,"Zucchini, berenjena, morrón, cebolla.",1. Cortar los vegetales en trozos medianos. 2. Armar brochettes alternando colores y texturas. 3. Colocar en una fuente. 4. Cocinar hasta que estén tiernos y dorados.,Horno,15-20 min,Muy Fácil,No los amontones para que doren mejor.
Cena,Pizza caprese integral,"Base integral, tomate, queso fresco, albahaca.",1. Precocinar la base integral unos minutos. 2. Cubrir con tomate en rodajas o salsa liviana. 3. Agregar queso fresco. 4. Cocinar hasta fundir. 5. Terminar con albahaca fresca al salir del horno.,Horno,25-30 min,Fácil,La albahaca siempre al final para más aroma.
Cena,Pizza de arroz,"Arroz cocido, huevo.",1. Mezclar el arroz cocido con el huevo hasta integrar. 2. Distribuir en una fuente formando una base compacta. 3. Precocinar hasta que esté firme. 4. Agregar toppings deseados y cocinar nuevamente.,Horno,25-30 min,Fácil,Compactá bien la base para que no se rompa.
Cena,Pizza de coliflor,"Coliflor rallada, huevo, queso.",1. Rallar el coliflor y escurrir bien la humedad. 2. Mezclar con huevo y queso. 3. Formar una base fina en placa. 4. Cocinar hasta que esté firme. 5. Agregar toppings y terminar la cocción.,Horno,25-30 min,Media,Escurrir bien cambia todo en la textura.
Cena,Pizza de garbanzos (fainá),"Harina de garbanzos, agua, aceite.",1. Mezclar harina de garbanzos con agua y aceite hasta integrar. 2. Dejar reposar unos minutos. 3. Volcar en fuente caliente formando base. 4. Cocinar hasta firmeza inicial. 5. Agregar toppings y terminar al horno.,Horno,25-30 min,Fácil,El reposo mejora la textura final.
Cena,Pizza de muzzarella integral,"Base integral, muzzarella, tomate.",1. Colocar salsa de tomate sobre la base integral. 2. Cubrir con muzzarella. 3. Cocinar a horno fuerte hasta fundir el queso y dorar la base. 4. Servir caliente.,Horno,25-30 min,Muy Fácil,No recargues de salsa para cuidar la base.
Cena,Pizza de polenta,"Polenta cocida, tomate, queso.",1. Cocinar la polenta y extenderla en una fuente formando base. 2. Dejar que tome firmeza. 3. Cubrir con tomate y queso. 4. Gratinar hasta dorar.,Horno,25-30 min,Muy Fácil,Hacé la base fina para mejor textura.
Cena,Pizza de verduras grilladas,"Base integral, verduras asadas.",1. Asar previamente las verduras. 2. Colocarlas sobre la base integral. 3. Cocinar al horno hasta calentar bien y dorar la masa. 4. Servir caliente.,Horno,25-30 min,Fácil,Las verduras ya asadas concentran más sabor.
Cena,Pizza de zucchini,"Zucchini rallado, huevo, queso.",1. Rallar el zucchini y escurrirlo muy bien. 2. Mezclar con huevo y queso. 3. Formar una base sobre placa. 4. Cocinar hasta firmeza inicial. 5. Agregar toppings si deseás y terminar al horno.,Horno,25-30 min,Media,Escurrirlo bien evita una base aguada.
Cena,Pizza integral de verduras,"Harina integral, levadura, tomate, verduras.","1. Preparar la masa mezclando harina integral, levadura y agua hasta formar un bollo suave. 2. Dejar leudar hasta duplicar volumen. 3. Estirar sobre una fuente aceitada. 4. Cubrir con salsa de tomate y verduras cortadas finas. 5. Cocinar hasta dorar la base y tiernizar los vegetales.",Horno,25-30 min,Media,No recargues de toppings para que la base dore mejor.
Cena,Pizza sin TACC de arroz,"Harina de arroz, huevo.",1. Mezclar la harina de arroz con el huevo hasta obtener una preparación uniforme. 2. Volcar en una fuente formando una base fina. 3. Cocinar hasta que tome firmeza. 4. Agregar toppings si deseás y terminar la cocción.,Horno,25-30 min,Fácil,Hacé la base fina para mejor textura.
Cena,Pizzetitas de lentejas,"Lentejas, harinas, levadura, agua.",1. Licuar las lentejas cocidas o remojadas con agua hasta lograr una mezcla lisa. 2. Incorporar la harina y la levadura activada. 3. Mezclar bien y dejar leudar. 4. Formar pizzetitas pequeñas sobre una placa. 5. Cubrir con salsa de tomate y cocinar hasta dorar.,Horno,20-25 min,Difícil,Son ideales para sumar legumbres de forma rica y original.
Cena,Pollo a la mostaza,"Pollo, mostaza, caldo o crema ligera.",1. Dorar el pollo en sartén o cacerola hasta sellarlo bien. 2. Mezclar la mostaza con un poco de caldo o crema ligera. 3. Incorporar al pollo y bajar el fuego. 4. Cocinar unos minutos hasta que la salsa espese y el pollo quede jugoso. 5. Servir caliente.,Hornalla,15 min,Fácil,Revolvé suave para que la salsa no se pegue.
Cena,Pollo al horno con batatas,"Suprema de pollo, batatas medianas, aceite, orégano.",1. Cortar las batatas en rodajas o cubos parejos. 2. Condimentarlas con aceite y orégano. 3. Colocar en una fuente junto con la suprema de pollo. 4. Condimentar el pollo a gusto. 5. Cocinar hasta que ambos estén dorados y tiernos.,Horno,20-25 min,Fácil,No amontones la fuente para que dore bien.
Cena,Pollo al horno con verduras,"Pollo, verduras, aceite.",1. Cortar las verduras en trozos medianos. 2. Colocar en una fuente junto con las piezas de pollo. 3. Condimentar y agregar un hilo de aceite. 4. Cocinar hasta dorar. 5. Mezclar o girar a mitad de cocción para un color parejo.,Horno,40 min,Fácil,Distribuir bien los ingredientes evita que se hiervan.
Cena,Pollo al horno con verduras clásico,"Pollo sin piel, zucchini, morrón, cebolla, zanahoria.",1. Cocinar el pollo al horno o plancha hasta dorar. 2. Cortar los vegetales en tiras o cubos. 3. Condimentarlos con sal y romero. 4. Cocinarlos hasta que estén tiernos. 5. Servir junto al pollo recién hecho.,Plancha,15 min,Fácil,No pinches el pollo para conservar jugos.
Cena,Pollo con revuelto de vegetales,"Pechuga o milanesa de pollo, huevo, zapallitos, queso cremoso.",1. Cocinar el pollo en horno o sartén. 2. Agregar una feta de queso al final para fundir. 3. Saltear los zapallitos en cubos pequeños. 4. Incorporar huevo batido y revolver hasta cuajar. 5. Servir junto al pollo caliente.,Horno,20-25 min,Media,El queso al final mejora textura sin secarse.
Cena,Rapiditas completas,"2 rapiditas, atún o pollo, palta, lechuga, tomate, cebolla.","1. Calentar apenas las rapiditas en sartén. 2. Cocinar el pollo si elegís esa proteína o escurrir el atún. 3. Lavar y cortar lechuga, tomate y cebolla. 4. Untar con palta si deseás. 5. Rellenar, enrollar y servir.",Sartén,15-20 min,Fácil,Calentalas apenas para que sigan flexibles.
Cena,Ravioles caseros de verdura,"Masa casera, verduras salteadas.",1. Preparar el relleno salteando las verduras hasta tiernizar. 2. Colocar pequeñas porciones sobre la masa estirada. 3. Cubrir con otra capa o cerrar discos individuales. 4. Sellar bien los bordes. 5. Hervir en abundante agua hasta que suban a la superficie.,Hornalla,20 min,Difícil,Harinalos apenas para que no se peguen.
Cena,Revuelto con vegetales,"Zapallitos, morrón, zanahoria, cebolla, choclo, queso cremoso.",1. Picar todos los vegetales en cubos pequeños. 2. Saltearlos en sartén caliente hasta que estén tiernos. 3. Incorporar el choclo y mezclar. 4. Agregar el queso cremoso en cubos. 5. Revolver hasta que se funda y quede cremoso.,Sartén,10-15 min,Muy Fácil,Cociná a fuego medio para que los vegetales se ablanden sin quemarse.
Cena,Revuelto de pollo y verduras,"Pollo, verduras mixtas.",1. Cortar el pollo en cubos pequeños. 2. Picar los vegetales elegidos. 3. Sellar primero el pollo en sartén caliente. 4. Agregar los vegetales y cocinar hasta que estén tiernos. 5. Servir caliente.,Sartén,10-15 min,Muy Fácil,Cociná a fuego medio para que el pollo no se seque.
Cena,Revuelto de verduras,"Verduras, huevo.",1. Cortar los vegetales en trozos pequeños. 2. Saltearlos en sartén hasta tiernizar. 3. Bajar el fuego y agregar el huevo batido. 4. Revolver suavemente hasta que cuaje y quede jugoso. 5. Servir enseguida.,Sartén,10 min,Muy Fácil,Cociná a fuego medio para un huevo más cremoso.
Cena,Revuelto de verduras al horno,"Verduras varias, huevos.",1. Cortar las verduras en cubitos y colocarlas en una fuente aceitada. 2. Cocinar unos minutos hasta ablandar. 3. Retirar y agregar los huevos batidos por encima. 4. Mezclar suavemente. 5. Volver al horno hasta que el huevo cuaje.,Horno,20-25 min,Fácil,Distribuir las verduras en una sola capa mejora la cocción.
Cena,Revuelto de verduras al horno clásico,"Verduras varias, huevos.",1. Cortar los vegetales pequeños. 2. Mezclar con los huevos batidos en un bowl. 3. Volcar en una fuente aceitada. 4. Cocinar hasta que esté firme y dorado en la superficie.,Horno,20-25 min,Fácil,No llenes demasiado la fuente para que cocine parejo.
Cena,Revuelto de zapallitos,"Zapallitos, huevos, cebolla, queso rallado.",1. Picar la cebolla y cortar los zapallitos en cubos pequeños. 2. Saltear hasta que estén tiernos. 3. Agregar los huevos batidos. 4. Revolver hasta que cuajen suavemente. 5. Terminar con queso rallado y servir caliente.,Sartén,10-15 min,Muy Fácil,Retiralo apenas húmedo para que no se seque.
Cena,Roll de pollo y verduras,"Pollo fileteado, verduras en bastones.",1. Estirar los filetes de pollo finos sobre una tabla. 2. Colocar bastones de verduras en el centro. 3. Enrollar ajustando bien. 4. Sujetar con escarbadientes o hilo de cocina. 5. Cocinar hasta que el pollo esté dorado y cocido.,Horno,20-25 min,Media,Sujetalos bien para que no se abran.
Cena,Rollitos de berenjena,"Berenjena, queso fresco, tomate.",1. Cortar la berenjena en láminas largas y finas. 2. Dorarlas apenas en sartén o horno. 3. Colocar tomate y queso sobre cada lámina. 4. Enrollar y acomodar en una fuente. 5. Cocinar hasta fundir el queso.,Horno,20-25 min,Fácil,"Si son amargas, dejalas con sal 20 minutos antes."
Cena,Rollitos de zucchini,"Zucchini, queso descremado.",1. Cortar el zucchini en láminas largas y finas. 2. Colocar una porción de queso en un extremo. 3. Enrollar con cuidado. 4. Cocinar brevemente hasta que el queso se derrita y el zucchini se tiernice.,Sartén,10-15 min,Muy Fácil,Hacelos a fuego medio para que no larguen demasiada agua.
Cena,Salmón,"Filet de salmón, especias.","1. Condimentar el filet con especias a gusto. 2. Colocarlo en sartén o placa caliente, primero del lado de la piel. 3. Cocinar hasta que la piel quede crocante. 4. Dar vuelta y cocinar brevemente el otro lado. 5. Retirar cuando el centro siga jugoso.",Hornalla,10-12 min,Media,Controlalo bien: se cocina rápido y queda mejor jugoso.
Cena,Salsa blanca de castañas,"Castañas de cajú, agua, almidón, nuez moscada.",1. Remojar las castañas de cajú durante unas horas y escurrir. 2. Procesarlas con agua limpia hasta obtener una crema lisa. 3. Llevar a fuego bajo en una olla. 4. Agregar el almidón previamente disuelto. 5. Condimentar con nuez moscada y sal. 6. Revolver constantemente hasta que espese y quede sedosa.,Hornalla,30-40 min,Media,Revolver siempre evita grumos y mejora la textura.
Cena,Sándwich de vegetales y remolacha,"Pan integral, morrón, berenjena, zucchini, remolachas.",1. Cortar los vegetales en láminas y grillarlos hasta dorar. 2. Hervir las remolachas hasta que estén tiernas. 3. Pisarlas hasta formar una pasta cremosa. 4. Untar el pan integral con la pasta de remolacha. 5. Agregar los vegetales grillados y cerrar el sándwich.,Plancha,15 min,Media,Los vegetales grillados tibios realzan mucho el sabor.
Cena,Sopa de verduras,"Papa, zanahoria, calabaza, zucchini, cebolla, fideos.",1. Cortar todos los vegetales en cubos medianos. 2. Hervir en abundante agua o caldo hasta que estén tiernos. 3. Licuar o pisar según la textura deseada. 4. Agregar los fideos cortos. 5. Cocinar hasta que estén listos y servir caliente.,Hornalla,30-40 min,Fácil,Revolvé al final para que los fideos no se peguen.
Cena,Sorrentinos de calabaza,"Masa de pasta, calabaza, queso.",1. Cocinar la calabaza hasta que esté tierna y hacer un puré seco. 2. Mezclar con el queso hasta integrar. 3. Rellenar la masa de pasta con pequeñas porciones. 4. Cerrar bien cada sorrentino. 5. Hervir en abundante agua hasta que suban a la superficie.,Hornalla,20 min,Difícil,Harinalos apenas para evitar que se peguen.
Cena,Tacos de calabaza,"Tortillas, calabaza asada.",1. Cortar la calabaza en cubos y asarla hasta dorar. 2. Calentar las tortillas unos segundos. 3. Rellenar con la calabaza asada. 4. Sumar vegetales frescos o salsas a gusto y servir.,Sartén,10-15 min,Muy Fácil,La calabaza bien dorada aporta más sabor.
Cena,Tacos de carne,"Tortillas, carne picada, cebolla.",1. Cocinar la cebolla picada hasta tiernizar. 2. Agregar la carne picada y condimentar. 3. Cocinar hasta dorar bien. 4. Calentar las tortillas. 5. Rellenar y servir enseguida.,Sartén,10-15 min,Fácil,Un toque de limón al final queda excelente.
Cena,Tacos de champiñones,"Tortillas, champiñones, cebolla.",1. Cortar los champiñones en láminas y picar la cebolla. 2. Saltear ambos hasta dorar y evaporar líquidos. 3. Calentar las tortillas. 4. Rellenar y servir calientes.,Sartén,10-15 min,Fácil,Cociná fuerte al inicio para dorar mejor los hongos.
Cena,Tacos de garbanzos,"Tortillas, garbanzos, especias.",1. Escurrir los garbanzos cocidos. 2. Saltearlos en sartén con especias hasta dorar ligeramente. 3. Calentar las tortillas. 4. Rellenar con los garbanzos y servir.,Sartén,10-15 min,Fácil,Pisá algunos garbanzos para mejor textura.
Cena,Tacos de lentejas,"Tortillas, lentejas cocidas, cebolla, tomate.",1. Saltear la cebolla picada hasta tiernizar. 2. Incorporar las lentejas cocidas y el tomate picado. 3. Cocinar unos minutos hasta integrar sabores. 4. Calentar las tortillas. 5. Rellenar y servir.,Sartén,10-15 min,Fácil,Agregá cilantro o perejil para frescura.
Cena,Tacos de pescado,"Tortillas, pescado, limón.",1. Cocinar el pescado a la plancha con limón y condimentos suaves. 2. Desmenuzarlo en trozos grandes. 3. Calentar las tortillas. 4. Rellenar con el pescado. 5. Servir enseguida con extra limón si deseás.,Sartén,10-15 min,Media,No sobrecocines el pescado para que quede jugoso.
Cena,Tacos de pollo,"Tortillas, pollo, verduras.",1. Cortar el pollo en tiras finas. 2. Cortar los vegetales en juliana. 3. Saltear primero el pollo hasta dorar. 4. Agregar las verduras y cocinar hasta tiernizar. 5. Calentar las tortillas. 6. Rellenar y servir enseguida.,Sartén,10-15 min,Fácil,Cociná a fuego medio para que el pollo quede jugoso.
Cena,Tacos de quinoa,"Tortillas, quinoa cocida, verduras.",1. Cocinar la quinoa y dejarla lista. 2. Mezclar con verduras frescas picadas o salteadas. 3. Calentar las tortillas unos segundos. 4. Rellenar con la mezcla de quinoa. 5. Servir calientes o tibios.,Sartén,10-15 min,Fácil,Un toque de limón suma frescura.
Cena,Tacos de verduras salteadas,"Tortillas, morrón, cebolla, zucchini.",1. Cortar los vegetales en tiras finas. 2. Saltearlos en sartén caliente hasta que estén tiernos y dorados. 3. Calentar las tortillas. 4. Rellenar con los vegetales y servir.,Sartén,10-15 min,Muy Fácil,No los cocines de más para que mantengan textura.
Cena,Tacos veggie con porotos,"Tortillas, porotos, verduras.",1. Escurrir los porotos cocidos. 2. Cortar las verduras elegidas en cubos pequeños. 3. Saltear todo junto unos minutos hasta integrar sabores. 4. Calentar las tortillas. 5. Rellenar y servir.,Sartén,10-15 min,Fácil,Pisá algunos porotos para mejor consistencia.
Cena,Tallarines caseros integrales,"Harina integral, huevo.",1. Formar una masa mezclando harina integral y huevo. 2. Amasar hasta lograr textura lisa. 3. Dejar descansar unos minutos. 4. Estirar fina la masa. 5. Cortar tiras tipo tallarín. 6. Hervir en abundante agua hasta cocinar.,Hornalla,20-25 min,Difícil,Harinalos apenas para que no se peguen entre sí.
Cena,"Tarta de calabaza, cebolla y morrón","Harinas, calabaza, cebolla, morrón, huevos.",1. Preparar la masa y forrar el molde. 2. Cocinar la calabaza hasta tiernizar y hacer puré. 3. Saltear cebolla y morrón picados. 4. Mezclar todo con los huevos. 5. Volcar sobre la masa. 6. Cocinar hasta dorar y cuajar el relleno.,Horno,30-40 min,Media,Dejala reposar antes de cortar.
Cena,Tarta de pollo y verduras,"Harina integral, pollo, verduras, huevos.","1. Preparar la masa y forrar el molde. 2. Cocinar el pollo en cubos hasta dorar. 3. Saltear las verduras por separado. 4. Mezclar pollo, verduras y huevos batidos. 5. Volcar sobre la base. 6. Cocinar hasta que la masa esté dorada y el relleno firme.",Horno,25 min,Media,Reposarla unos minutos mejora el corte.
Cena,Tarta de verdura (clásica),"Espinaca o acelga, cebolla, morrón, zanahoria, tapa de tarta.","1. Saltear cebolla, morrón y zanahoria hasta tiernizar. 2. Agregar la espinaca o acelga cocida y escurrida. 3. Mezclar con huevo y queso si deseás. 4. Colocar sobre la tapa de tarta en el molde. 5. Cocinar hasta dorar y firmar el relleno.",Horno,25-30 min,Media,Escurrir bien la verdura evita exceso de humedad.
Cena,Tarta de verdura sin tacc,"Tapa sin tacc, espinaca o acelga, zanahoria, choclo, rúcula.","1. Preparar la base sin tacc en el molde. 2. Cocinar y escurrir la espinaca o acelga. 3. Mezclar con zanahoria rallada, choclo y rúcula picada. 4. Colocar el relleno sobre la base. 5. Cocinar hasta que esté dorada y firme.",Horno,30 min,Media,Dejala reposar antes de servir.
Cena,Tarta de verduras,"Verduras, huevos, queso, masa.",1. Saltear las verduras elegidas y dejar enfriar unos minutos. 2. Mezclar con huevos batidos y queso. 3. Volcar sobre la masa colocada en el molde. 4. Cocinar hasta que el relleno esté firme y la base dorada. 5. Servir tibia o caliente.,Horno,30 min,Fácil,Evitá verduras muy húmedas para una base crocante.
